CustomerID,Lookalikes
C0001,"[('C0070', 0.13), ('C0137', 0.27), ('C0191', 0.27)]"
C0002,"[('C0029', 0.05), ('C0172', 0.19), ('C0157', 0.26)]"
C0003,"[('C0038', 0.19), ('C0072', 0.35), ('C0176', 0.39)]"
C0004,"[('C0068', 0.49), ('C0041', 0.52), ('C0113', 0.53)]"
C0005,"[('C0061', 0.17), ('C0192', 0.2), ('C0167', 0.23)]"
C0006,"[('C0026', 0.5), ('C0184', 0.5), ('C0048', 0.53)]"
C0007,"[('C0085', 0.16), ('C0089', 0.21), ('C0146', 0.27)]"
C0008,"[('C0084', 0.2), ('C0017', 0.33), ('C0039', 0.44)]"
C0009,"[('C0020', 0.18), ('C0128', 0.18), ('C0130', 0.23)]"
C0010,"[('C0094', 0.58), ('C0144', 0.72), ('C0142', 0.87)]"
C0011,"[('C0064', 0.17), ('C0139', 0.2), ('C0024', 0.2)]"
C0012,"[('C0093', 0.05), ('C0101', 0.24), ('C0182', 0.35)]"
C0013,"[('C0114', 0.23), ('C0051', 0.39), ('C0148', 0.42)]"
C0014,"[('C0097', 0.48), ('C0032', 0.69), ('C0083', 0.82)]"
C0015,"[('C0080', 0.45), ('C0089', 0.91), ('C0085', 0.93)]"
C0016,"[('C0040', 0.13), ('C0158', 0.3), ('C0066', 0.33)]"
C0017,"[('C0113', 0.19), ('C0084', 0.24), ('C0008', 0.33)]"
C0018,"[('C0053', 0.29), ('C0162', 0.33), ('C0105', 0.34)]"
C0019,"[('C0166', 0.19), ('C0031', 0.23), ('C0088', 0.25)]"
C0020,"[('C0128', 0.08), ('C0009', 0.18), ('C0130', 0.28)]"
